pop1 pop2 pop1_long pop2_long type geography fst n_inds least.cost.distance euc.distance dist.to.coast1 dist.to.coast2
LN SR LN_cbr SR_cmn cmn_cbr allopatric 0.040235 39 97.500838188707 81 0.664060317546171 2.09303510883343
LN SR LN_cbr SR_wht wht_cbr allopatric 0.025317 40 97.500838188707 81 0.664060317546171 2.09303510883343
MH MH MH_cmn MH_wht wht_cmn sympatric 0.018461 16 NA 0 8.69171627575548 8.69171627575548
MH MR MH_cmn MR_cbr cmn_cbr allopatric 0.014942 25 112.212939308176 88 8.69171627575548 0.122940810141915
MH RT MH_cmn RT_cmn cmn_cmn allopatric 0.017963 11 56.4256623271155 59 8.69171627575548 0.283588138995079
MH RT MH_cmn RT_wht wht_cmn allopatric 0.017808 23 56.4256623271155 59 8.69171627575548 0.283588138995079
MH SF MH_cmn SF_cmn cmn_cmn allopatric 0.0071426 12 17.9201618726789 24 8.69171627575548 0.661328928399864
MH SF MH_cmn SF_wht wht_cmn allopatric 0.020279 26 17.9201618726789 24 8.69171627575548 0.661328928399864
MH SH MH_cmn SH_cmn cmn_cmn allopatric 0.010342 21 150.798489423696 94 8.69171627575548 0.350212979381137
MH SH MH_cmn SH_wht wht_cmn allopatric 0.030896 13 150.798489423696 94 8.69171627575548 0.350212979381137
MH SK MH_cmn SK_cbr cmn_cbr allopatric 0.015807 24 103.504324016922 69 8.69171627575548 0.376207204758099
MH SR MH_cmn SR_cmn cmn_cmn allopatric 0.01317 23 6.16685504170452 16 8.69171627575548 2.09303510883343
MH SR MH_cmn SR_wht wht_cmn allopatric 0.020199 24 6.16685504170452 16 8.69171627575548 2.09303510883343
MH MR MH_wht MR_cbr wht_cbr allopatric 0.020575 23 112.212939308176 88 8.69171627575548 0.122940810141915
MH RT MH_wht RT_cmn wht_cmn allopatric 0.022898 9 56.4256623271155 59 8.69171627575548 0.283588138995079
MH RT MH_wht RT_wht wht_wht allopatric 0 21 56.4256623271155 59 8.69171627575548 0.283588138995079
MH SF MH_wht SF_cmn wht_cmn allopatric 0.011542 10 17.9201618726789 24 8.69171627575548 0.661328928399864
MH SF MH_wht SF_wht wht_wht allopatric 0.00019403 24 17.9201618726789 24 8.69171627575548 0.661328928399864
MH SH MH_wht SH_cmn wht_cmn allopatric 0.018074 19 150.798489423696 94 8.69171627575548 0.350212979381137
MH SH MH_wht SH_wht wht_wht allopatric 0.017395 11 150.798489423696 94 8.69171627575548 0.350212979381137
MH SK MH_wht SK_cbr wht_cbr allopatric 0.020842 22 103.504324016922 69 8.69171627575548 0.376207204758099
MH SR MH_wht SR_cmn wht_cmn allopatric 0.024509 21 6.16685504170452 16 8.69171627575548 2.09303510883343
MH SR MH_wht SR_wht wht_wht allopatric 0 22 6.16685504170452 16 8.69171627575548 2.09303510883343
MR RT MR_cbr RT_cmn cmn_cbr allopatric 0.024324 18 55.7872769810602 47 0.122940810141915 0.283588138995079
MR RT MR_cbr RT_wht wht_cbr allopatric 0.020577 30 55.7872769810602 47 0.122940810141915 0.283588138995079
MR SF MR_cbr SF_cmn cmn_cbr allopatric 0.010258 19 94.2927774354968 77 0.122940810141915 0.661328928399864
MR SF MR_cbr SF_wht wht_cbr allopatric 0.020949 33 94.2927774354968 77 0.122940810141915 0.661328928399864
MR SH MR_cbr SH_cmn cmn_cbr allopatric 0.0181 28 232.020380443762 182 0.122940810141915 0.350212979381137
MR SH MR_cbr SH_wht wht_cbr allopatric 0.032477 20 232.020380443762 182 0.122940810141915 0.350212979381137
MR SK MR_cbr SK_cbr cbr_cbr allopatric 0.00082435 31 26.8789808147931 20 0.122940810141915 0.376207204758099
MR SR MR_cbr SR_cmn cmn_cbr allopatric 0.021555 30 110.210875513562 92 0.122940810141915 2.09303510883343
MR SR MR_cbr SR_wht wht_cbr allopatric 0.021102 31 110.210875513562 92 0.122940810141915 2.09303510883343
RT RT RT_cmn RT_wht wht_cmn sympatric 0.017732 16 NA 0 0.283588138995079 0.283588138995079
RT SF RT_cmn SF_cmn cmn_cmn allopatric 0.0066108 5 38.5055004544366 39 0.283588138995079 0.661328928399864
RT SF RT_cmn SF_wht wht_cmn allopatric 0.027311 19 38.5055004544366 39 0.283588138995079 0.661328928399864
