population,year,individual,std.length
SF,2014,41,4.27
SF,2014,42,4.11
SF,2014,43,3.94
SF,2014,44,4.13
SF,2014,45,4.76
SF,2014,46,4.1
SF,2014,47,4.21
SF,2014,48,4.46
SF,2014,49,4.43
SF,2014,5,4.15
SF,2014,50,4.65
SF,2014,51,4.15
SF,2014,52,4.21
SF,2014,53,4.32
SF,2014,54,4.52
SF,2014,55,4.58
SF,2014,56,4.8
SF,2014,57,4.25
SF,2014,58,4.99
SF,2014,59,4.02
SF,2014,6,3.07
SF,2014,60,4.05
SF,2014,61,3.68
SF,2014,62,3.98
SF,2014,63,3.96
SF,2014,64,4.37
SF,2014,65,4.49
SF,2014,66,4.38
SF,2014,67,4.44
SF,2014,68,4.36
SF,2014,69,3.5
SF,2014,7,3.79
SF,2014,70,4.69
SF,2014,71,4.76
SF,2014,72,4.09
SF,2014,73,4.15
SF,2014,74,4.71
SF,2014,75,3.28
SF,2014,76,4.49
SF,2014,77,4.92
SF,2014,78,3.71
SF,2014,79,4.26
SF,2014,8,3.54
SF,2014,80,3.6
SF,2014,81,3.54
SF,2014,82,4.67
SF,2014,83,4.39
SF,2014,84,3.73
SF,2014,85,4.09
SF,2014,86,4.26
SF,2014,87,4.25
SF,2014,88,3.9
SF,2014,89,4.11
SF,2014,9,4.66
SF,2014,90,4.47
SF,2014,91,4.07
SF,2014,92,3.32
SF,2014,93,4.63
SF,2014,94,4.25
SF,2014,95,4.35
SF,2014,96,3.43
SF,2014,97,4.42
SF,2014,98,4.22
SF,2014,99,4.01
SH,2014,1,5.5
SH,2014,10,5.31
SH,2014,11,5.38
SH,2014,12,5.32
SH,2014,13,4.6
SH,2014,14,4.22
SH,2014,15,4.96
SH,2014,16,5.14
SH,2014,17,5.54
SH,2014,18,4.87
SH,2014,19,5.06
SH,2014,2,4.73
SH,2014,20,4.79
SH,2014,21,4.26
SH,2014,3,5.75
SH,2014,4,5.57
SH,2014,5,6.11
SH,2014,6,4.68
SH,2014,7,5.56
SH,2014,8,5.73
SH,2014,9,6.01
SK,2014,1,4.76
SK,2014,10,4.72
SK,2014,11,4.2
SK,2014,12,5.37
SK,2014,13,5.45
SK,2014,14,5.35
SK,2014,15,6.89
SK,2014,17,5.31
SK,2014,18,5.06
SK,2014,19,5.15
SK,2014,2,5.29
SK,2014,20,5.86
SK,2014,21,5.75
SK,2014,22,5.31
SK,2014,23,5.41
SK,2014,24,5.42
SK,2014,25,5.55
SK,2014,26,5.18
SK,2014,27,5.39
SK,2014,28,5.06
SK,2014,29,4.7
SK,2014,3,5.34
SK,2014,30,5.32
SK,2014,31,5.21
SK,2014,32,5.1
SK,2014,33,5.38
SK,2014,34,5.21
SK,2014,35,5.6
SK,2014,36,4.43
SK,2014,37,5.49
SK,2014,38,5.1
SK,2014,39,4.55
SK,2014,4,5.77
SK,2014,40,5.27
SK,2014,41,3.98
SK,2014,42,5.12
SK,2014,43,4.91
SK,2014,44,5.23
SK,2014,45,5.09
SK,2014,46,5.4
SK,2014,47,4.74
SK,2014,48,4.76
SK,2014,49,4.57
SK,2014,5,5.27
SK,2014,6,5.26
SK,2014,7,5.98
SK,2014,8,4.88
SK,2014,9,5.08
SR,2014,1,5.05
SR,2014,10,3.87
SR,2014,100,4.09
SR,2014,101,3.78
SR,2014,102,4.31
SR,2014,103,4.53
SR,2014,104,4.07
SR,2014,105,3.87
SR,2014,106,4.23
SR,2014,107,4.28
SR,2014,108,3.65
SR,2014,109,3.99
SR,2014,11,3.6
SR,2014,110,4.2
SR,2014,111,4.14
SR,2014,112,4.39
SR,2014,113,5.54
SR,2014,114,3.96
SR,2014,115,3.62
SR,2014,116,3.8
SR,2014,117,3.95
SR,2014,118,3.5
SR,2014,119,3.7
SR,2014,12,4
SR,2014,120,3.82
SR,2014,121,3.74
SR,2014,122,3.65
SR,2014,123,3.86
SR,2014,124,6.6
SR,2014,125,5.98
SR,2014,126,4.87
SR,2014,127,4.15
SR,2014,128,3.46
SR,2014,129,3.89
SR,2014,13,3.21
SR,2014,130,5.47
SR,2014,131,3.62
SR,2014,132,3.78
SR,2014,133,4.32
SR,2014,134,3.82
SR,2014,135,4.68
SR,2014,136,3.7
SR,2014,137,3.78
SR,2014,138,4.07
SR,2014,139,3.89
SR,2014,14,3.99
SR,2014,140,4.45
SR,2014,141,4.22
SR,2014,142,4.63
SR,2014,143,4.06
SR,2014,144,4.88
SR,2014,145,4.27
SR,2014,146,4.45
SR,2014,147,4.01
SR,2014,148,4.08
SR,2014,149,4.28
SR,2014,15,5.18
SR,2014,150,3.91
SR,2014,151,5.82
SR,2014,152,4.26
SR,2014,153,3.82
SR,2014,154,4.26
SR,2014,155,4.67
SR,2014,156,3.94
SR,2014,157,5.26
SR,2014,158,4.42
SR,2014,159,6.06
SR,2014,16,4.64
SR,2014,160,4.3
SR,2014,161,3.8
SR,2014,162,3.57
SR,2014,163,3.89
SR,2014,164,3.86
SR,2014,165,4.2
SR,2014,166,4.34
SR,2014,167,3.75
SR,2014,168,4.12
SR,2014,169,4.16
SR,2014,17,3.98
SR,2014,170,3.87
SR,2014,171,3.5
SR,2014,172,4.09
SR,2014,173,3.96
SR,2014,174,4.16
SR,2014,175,4.24
SR,2014,176,3.91
SR,2014,177,3.87
SR,2014,178,4.34
SR,2014,179,3.53
SR,2014,18,4.07
SR,2014,180,3.72
SR,2014,181,3.86
SR,2014,182,4.07
SR,2014,183,4.18
SR,2014,184,4.07
SR,2014,185,4.79
SR,2014,186,3.98
SR,2014,187,3.44
SR,2014,188,3.64
SR,2014,189,4.47
SR,2014,19,3.99
SR,2014,190,3.8
SR,2014,191,4.35
SR,2014,192,3.39
SR,2014,193,3.92
SR,2014,194,3.85
