pop1 ecotype1 pop2 ecotype2 geography ecology group reg1 reg2 geography2 group2 fst
cs marine stl lake allo D allo_D or or para para_D 0.566464
cs marine wc stream allo D allo_D or or para para_D 0.0284244
denmark marine al marine allo S allo_S ne ns allo allo_S 0.256555
denmark marine boot lake allo D allo_D ne bc allo allo_D 0.667939
denmark marine boot stream allo D allo_D ne bc allo allo_D 0.688489
denmark marine cl marine allo S allo_S ne ns allo allo_S 0.258448
denmark marine cl white allo D allo_D ne ns allo allo_D 0.257162
denmark marine constance lake allo D allo_D ne sl allo allo_D 0.53616
denmark marine constance stream allo D allo_D ne sl allo allo_D 0.520063
denmark marine cp marine allo S allo_S ne ns allo allo_S 0.265728
denmark marine geneva lake allo D allo_D ne sl allo allo_D 0.580923
denmark marine geneva stream allo D allo_D ne sl allo allo_D 0.591869
denmark marine joes lake allo D allo_D ne bc allo allo_D 0.71342
denmark marine joes stream allo D allo_D ne bc allo allo_D 0.708091
denmark marine litcampbell marine allo S allo_S ne bc allo allo_S 0.263269
denmark marine ln marine allo S allo_S ne ns allo allo_S 0.258826
denmark marine mh marine allo S allo_S ne ns allo allo_S 0.251052
denmark marine mh white allo D allo_D ne ns allo allo_D 0.251341
denmark marine misty lake allo D allo_D ne bc allo allo_D 0.615918
denmark marine misty stream allo D allo_D ne bc allo allo_D 0.610881
denmark marine roberts lake allo D allo_D ne bc allo allo_D 0.544205
denmark marine roberts stream allo D allo_D ne bc allo allo_D 0.598284
denmark marine sk marine allo S allo_S ne ns allo allo_S 0.261124
denmark marine sr marine allo S allo_S ne ns allo allo_S 0.250165
denmark marine sr white allo D allo_D ne ns allo allo_D 0.260269
geneva lake al marine allo D allo_D sl ns allo allo_D 0.565375
geneva lake cl marine allo D allo_D sl ns allo allo_D 0.56165
geneva lake cl white allo D allo_D sl ns allo allo_D 0.570749
geneva lake cp marine allo D allo_D sl ns allo allo_D 0.545313
geneva lake geneva stream para D para_D sl sl para para_D 0.0154965
geneva lake joes lake allo S allo_S sl bc allo allo_S 0.697973
geneva lake joes stream allo D allo_D sl bc allo allo_D 0.704118
geneva lake ln marine allo D allo_D sl ns allo allo_D 0.552577
geneva lake mh marine allo D allo_D sl ns allo allo_D 0.553332
geneva lake mh white allo D allo_D sl ns allo allo_D 0.535422
geneva lake misty lake allo S allo_S sl bc allo allo_S 0.598058
geneva lake misty stream allo D allo_D sl bc allo allo_D 0.597992
geneva lake roberts lake allo S allo_S sl bc allo allo_S 0.535632
geneva lake roberts stream allo D allo_D sl bc allo allo_D 0.599452
geneva lake sk marine allo D allo_D sl ns allo allo_D 0.560895
geneva lake sr marine allo D allo_D sl ns allo allo_D 0.565695
geneva lake sr white allo D allo_D sl ns allo allo_D 0.570711
geneva stream al marine allo D allo_D sl ns allo allo_D 0.576987
geneva stream cl marine allo D allo_D sl ns allo allo_D 0.566141
geneva stream cl white allo D allo_D sl ns allo allo_D 0.577054
geneva stream cp marine allo D allo_D sl ns allo allo_D 0.556383
geneva stream joes lake allo D allo_D sl bc allo allo_D 0.70468
