"pop" "id.raw" "id" "k.value.run" "X1" "X2" "X3" "membership"
"124" "SP" "whtstbk_gbs_2015_L1_brds_SP1" "SP1" 1 1 NA NA 1
"125" "SP" "whtstbk_gbs_2015_L1_brds_SP4" "SP4" 1 1 NA NA 1
"126" "SR" "whtstbk_gbs_2015_L1_brds_SR1" "SR1" 1 1 NA NA 1
"127" "SR" "whtstbk_gbs_2015_L1_brds_SR105" "SR105" 1 1 NA NA 1
"128" "SR" "whtstbk_gbs_2015_L1_brds_SR114" "SR114" 1 1 NA NA 1
"129" "SR" "whtstbk_gbs_2015_L1_brds_SR125" "SR125" 1 1 NA NA 1
"130" "SR" "whtstbk_gbs_2015_L1_brds_SR128" "SR128" 1 1 NA NA 1
"131" "SR" "whtstbk_gbs_2015_L1_brds_SR131" "SR131" 1 1 NA NA 1
"132" "SR" "whtstbk_gbs_2015_L1_brds_SR133" "SR133" 1 1 NA NA 1
"133" "SR" "whtstbk_gbs_2015_L1_brds_SR141" "SR141" 1 1 NA NA 1
"134" "SR" "whtstbk_gbs_2015_L1_brds_SR144" "SR144" 1 1 NA NA 1
"135" "SR" "whtstbk_gbs_2015_L1_brds_SR15" "SR15" 1 1 NA NA 1
"136" "SR" "whtstbk_gbs_2015_L1_brds_SR159" "SR159" 1 1 NA NA 1
"137" "SR" "whtstbk_gbs_2015_L1_brds_SR24" "SR24" 1 1 NA NA 1
"138" "SR" "whtstbk_gbs_2015_L1_brds_SR34" "SR34" 1 1 NA NA 1
"139" "SR" "whtstbk_gbs_2015_L1_brds_SR37" "SR37" 1 1 NA NA 1
"140" "SR" "whtstbk_gbs_2015_L1_brds_SR51" "SR51" 1 1 NA NA 1
"141" "SR" "whtstbk_gbs_2015_L1_brds_SR58" "SR58" 1 1 NA NA 1
"142" "SR" "whtstbk_gbs_2015_L1_brds_SR88" "SR88" 1 1 NA NA 1
"143" "SR" "whtstbk_gbs_2015_L1_brds_SR89" "SR89" 1 1 NA NA 1
"144" "SR" "whtstbk_gbs_2015_L1_brds_SR96" "SR96" 1 1 NA NA 1
"145" "AL" "whtstbk_gbs_2015_L2_brds_AL12" "AL12" 1 1 NA NA 1
"146" "AL" "whtstbk_gbs_2015_L2_brds_AL2" "AL2" 1 1 NA NA 1
"147" "AL" "whtstbk_gbs_2015_L2_brds_AL21" "AL21" 1 1 NA NA 1
